Accident_severity,Number_of_casualties,Time,Day_of_week,Area_accident_occured,Types_of_Junction,Road_allignment,Lanes_or_Medians,Weather_conditions,Light_conditions,Road_surface_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Age_band_of_driver,Driving_experience,Sex_of_driver,Type_of_vehicle,Hour,Time_period,severity_score,is_weekend
slight injury,2,1900-01-01 17:02:00,monday,residential areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside-parked vehicles,going straight,moving backward,18-30,1-2yr,male,automobile,17,afternoon,1,False
slight injury,2,1900-01-01 17:02:00,monday,office areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,overtaking,31-50,above 10yr,male,public (> 45 seats),17,afternoon,1,False
serious injury,2,1900-01-01 17:02:00,monday,recreational areas,no junction,tangent road with flat terrain,other,normal,daylight,dry,collision with roadside objects,going straight,changing lane to the left,18-30,1-2yr,male,lorry (41?100q),17,afternoon,2,False
slight injury,2,1900-01-01 01:06:00,sunday,office areas,y shape,tangent road with mild grade and flat terrain,other,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the right,18-30,5-10yr,male,public (> 45 seats),1,night,1,True
slight injury,2,1900-01-01 01:06:00,sunday,industrial areas,y shape,tangent road with flat terrain,other,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,overtaking,18-30,2-5yr,male,automobile,1,night,1,True
slight injury,1,1900-01-01 14:15:00,friday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,u-turn,overloading,31-50,5-10yr,male,automobile,14,afternoon,1,False
slight injury,1,1900-01-01 17:30:00,wednesday,residential areas,crossing,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,moving backward,other,18-30,2-5yr,male,automobile,17,afternoon,1,False
slight injury,1,1900-01-01 17:20:00,friday,residential areas,y shape,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,u-turn,no priority to vehicle,18-30,2-5yr,male,automobile,17,afternoon,1,False
slight injury,1,1900-01-01 17:20:00,friday,industrial areas,y shape,tangent road with flat terrain,other,normal,daylight,dry,collision with roadside-parked vehicles,going straight,changing lane to the right,18-30,above 10yr,male,lorry (41?100q),17,afternoon,1,False
serious injury,1,1900-01-01 17:20:00,friday,residential areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with roadside-parked vehicles,u-turn,moving backward,18-30,1-2yr,male,automobile,17,afternoon,2,False
